,AMI,V-measure,Homogeneity,NMI,ARI
COSMOS,0.037298450997858695,0.04330549034503685,0.04418264518238792,0.04330549034503685,-0.00728100274501879
SpaMosaic,0.19652443534207334,0.20191742470695306,0.2174022801381035,0.20191742470695306,0.09440997823190807
MISO,0.09893229652213545,0.10524662953354809,0.08545891578157876,0.10524662953354809,0.04607437745804586
SpatialGlue,0.29206797474488533,0.29675133434694445,0.3251662721352089,0.2967513343469445,0.14438957473135425
Our Method,0.34618816490034987,0.351021603759976,0.34517750382427875,0.351021603759976,0.21354151372889918
