,AMI,V-measure,Homogeneity,NMI,ARI
COSMOS,0.08157244198613608,0.08811911281281669,0.0859682345846338,0.0881191128128167,0.05676418847262811
SpaMosaic,0.09506239532269618,0.10081825804807591,0.11036500512016799,0.10081825804807591,0.03842579135594681
MISO,0.24028700936941197,0.2452405837628767,0.2513800441109448,0.24524058376287666,0.11536786724723185
SpatialGlue,0.33674973466608016,0.34101565119888605,0.3703366204586912,0.341015651198886,0.19930868112470537
Our Method,0.3666274449274657,0.3707817889569295,0.3945674724142858,0.3707817889569295,0.230131915925211
