,AMI,V-measure,Homogeneity,NMI,ARI
COSMOS,0.078673411561543,0.083208429348925,0.08182877554921247,0.08320842934892501,0.011405605998485557
SpaMosaic,0.11459240070483726,0.12069684824465592,0.12704777787544053,0.12069684824465592,0.029772457969725847
MISO,0.23235839984084225,0.23813366598591576,0.22108257429816136,0.23813366598591576,0.1364213770460927
SpatialGlue,0.3147946989124462,0.31933928022579733,0.35047737905650106,0.31933928022579733,0.17691561318876653
Our Method,0.3279225929543202,0.3329093448430971,0.32723317678214636,0.33290934484309714,0.23374113553869155
