,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.27788023623260183,0.4870542946581228,0.2646538465921766,-0.07742802654331636,-0.18636351684269034,-0.18742180685114496,0.0777781567854209,0.48623195952230736,0.3555693451915297,-0.08986198441666007,-0.09125735336423439,0.6362971873515283,0.6178202653799307,0.456031824484577,-0.14367639490512135,0.5784522608470516,0.19071181059875889,0.22080292210385924,-0.5540383354166836,-0.4613409986837184,-0.05052439234425674,-0.275763333810132,0.754933770867696,0.1085902290663563,0.5553686797772885,-0.2272975953301066,0.5736375775366425,-0.0046804381664010955,0.37557300138972216,0.47207665697244955,-0.1815682568650582
scArches,-0.014304848075610336,0.15807386371112955,0.3532117223784817,0.3418355016640533,0.11621964634876464,0.04970651120958972,0.25595374504461893,0.03018871679137804,0.5043815518390101,0.21530961206002938,0.03240158827833068,0.20274578148939013,0.19879290106447176,0.30593671502059244,0.13364262754335998,0.12063290432244048,0.2739505445952973,0.37859072858706416,0.14773541516944957,0.3396229766596293,0.04132702593430548,0.09900139894292456,0.6170389968557578,0.13062642689380058,0.06477052448871362,0.1738334800238907,0.14114712151000824,0.26911282601095987,0.07133315803547234,0.25541616388412397,0.06581050805645598
sciPENN,0.36365454862548124,0.2069057130116699,0.41438919613163816,0.5993908170685363,0.10850591543975469,0.5706909891434913,0.33838394724355964,0.10164723352650443,0.44194478625348904,0.36902195060542925,-0.042974155580710896,0.5314867751473505,0.5157628341464778,0.31390175459844866,0.23217523783412805,0.32549945944790326,0.5811417951341882,0.3716542902977558,0.3925196172251318,0.44057160841448983,0.011875570019954639,0.2176454430287609,0.7487764585743472,-0.08837655409126927,0.2411204893863545,0.46202509323686436,0.2363503769616114,0.2895270431386903,-0.030150954670443226,0.23168595750032994,0.1933715887073587
spamosaic,0.46668598921344495,0.4636530851752301,0.5647462171168174,0.7048979938067356,0.1291165850407718,0.6523065566010048,0.33933794508913534,0.46039132389637166,0.5995089264201163,0.48628036325837204,-0.06934593489019492,0.6405857110724978,0.650979395240164,0.48777084086060485,0.25566900962293815,0.5129342491850521,0.6394452981671677,0.46390572025549043,0.5984774442970794,0.5475721797810279,0.24817564420897054,0.44691084202384346,0.8212485895124991,0.018936912406531847,0.5482026592898193,0.5514408215220444,0.47705850737338057,0.35696110614372273,0.2562996893731992,0.45619438555246117,0.36107360815772493
ourbaseline,0.5368823359104924,0.7419063290159292,0.36009940670690854,0.8135939590697845,0.26049742500190226,0.6800515208874995,0.3684685028103897,0.7796956962723589,0.7440251988342886,0.572254153420979,0.3125824078180862,0.7315045476236323,0.7804109822060502,0.8008109394430311,0.43368097830460217,0.748886644416521,0.6441092638784766,0.42288194408269597,0.7366444485567956,0.7032781479114163,0.6640463071249194,0.6476990349174194,0.8550894634734798,0.6204136619658818,0.7800107980797341,0.5789030158936842,0.8598072142029545,0.5133363178309466,0.7043049962260459,0.8098300267822776,0.4038951573473574
