,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.14172226317255443,0.3750890365964185,0.51033754949214,-0.22945616648390377,0.09185469977343695,-0.01823130605931215,0.31762094109213485,0.21154103049645023,0.46400142627184104,-0.09172141293187348,0.10047926658853955,0.4538759977630189,0.4452980179854309,0.19611414844753355,-0.3048256782557792,0.33330987241302706,0.3153045436043159,0.07981948720215556,0.020401500909625725,-0.4171194654080357,0.14284365499190138,-0.17584179655343216,0.4841148215125461,0.0016520479498799748,0.4020386001120726,0.045666624683430926,0.396482760839181,0.20533460871585113,0.09255729708269249,0.3251018723596445,0.2088423291259685
scArches,-0.05525135958521184,0.3080419419641252,0.0031021956707511147,0.32506621421992576,-0.001808897375715015,-0.05074460575047047,0.5316341843550019,0.11190270481318768,0.4548173318658255,0.13094199876499305,-0.07300144613232076,0.3439366894489083,0.16495472707983969,0.2414947084952981,-0.044151494956607876,0.3611894706986264,0.09153677667238254,-0.10067985375429217,0.3643674740594102,0.3981223133012358,0.08937563865446174,0.25606064047996835,0.36587517344860687,0.1038671129587086,0.17335789142260427,0.0044837967737628315,0.23121815491748618,0.46404143571050716,0.025460814097199008,0.2986308855763513,-0.13324348900805638
sciPENN,-0.00560427285111097,0.10901876162569676,0.012550622680582758,0.11349260918648323,-0.005008100000244618,0.069099850366786,0.11451990728907313,0.015816274292788337,0.10894005892658223,0.0534786455177584,-0.005853702791392058,0.07767656454074355,0.12011759062220882,0.09226260632563767,-0.050688478396295596,0.07599188941221606,0.10845685967043583,0.14688092982036155,0.0497282211269984,0.07381875928318007,-0.04794186336276485,0.060359364766091494,0.14669394307802686,-0.03662019756118412,0.12052295984313273,0.11121369243918275,0.051922948773083524,0.04492826709775526,0.030360808947187724,0.06525209038529171,-0.08955211326756136
spamosaic,0.3602084149091267,0.45585253123718666,0.4801717815732828,0.7449726103875034,0.0782962094691235,0.5791772814461418,0.6471243128869236,0.29638479710546695,0.682510939905641,0.2909970709686347,0.04315415985728508,0.5260181402661924,0.5135148502611133,0.33501065952500986,0.2975484206577717,0.4736676805424378,0.46138688703922115,0.44237309411387377,0.5441384627540886,0.5025592271983185,0.19070500197504936,0.31322752411834714,0.7582748667982906,0.02477976133372394,0.4733695928636396,0.4077877770297574,0.47120518414539136,0.5861868267534193,0.07185135841733506,0.6670371166903108,0.12464258122150834
ourbaseline,0.6637959871212759,0.7780658674342608,0.5338325855569229,0.8221723558870024,0.04782806922776882,0.63697754363205,0.5950888402964567,0.6999821033962559,0.8136960326477125,0.5344999475115214,0.28951101220089986,0.6384721043117512,0.6680685402783364,0.7051934802446789,0.4909507202679422,0.7302034000780613,0.28653406246818747,0.3781930304473303,0.633331569527011,0.6669673102474296,0.3388316520863174,0.5896416422089195,0.895782145532491,0.5403769407922743,0.7056182589637868,0.5957833973898147,0.8578558171824777,0.510056968249568,0.6202491201753333,0.877363374336132,0.041267546466609684
