,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.1435684891507853,0.39723572298505566,0.5975591576836031,-0.16315956286185826,-0.1391475403318818,-0.13803111338850332,0.06712932802210288,0.29548635239726323,0.3446351872159426,-0.03878673412869316,0.07126696144895658,0.5091551598304929,0.49914143613720574,0.2928363583052782,-0.32563918812174936,0.3318580971573458,0.33144652781350475,0.1565468684424881,-0.013879425875063132,-0.4344816858144566,0.3445855954851651,-0.18984473216455053,0.579936116765632,0.055306809980400266,0.4651125631131437,0.09745271334341539,0.4302837759082768,-0.021560287707828182,0.09986969673097368,0.3123701561025339,0.04091984972629438
scArches,-0.13568919980958827,0.14779659953773766,-0.05118479878711864,-0.0017738363743959107,0.16326168363123872,-0.10480269780753919,0.13228134326110805,0.10650797149649124,0.34552400343308937,-0.015473177187668793,-0.023057358814222946,0.3338836394677723,0.21589638285796292,0.19907511090068597,-0.04841925677801617,0.30256399723923433,-0.029562654053793724,-0.06590552428268708,0.27416742792727394,0.28690799791305416,0.16265279674021396,0.11566848058994475,0.32829556325668185,0.10250559768483145,0.13988042952778407,-0.03055872651740707,0.20775699208645523,0.19862871411819505,0.04421985213592947,0.2333992337634385,-0.055011345837202706
sciPENN,0.12587928652894498,0.08941275986646763,0.13675076820489898,0.23726136644131685,-0.005141526812413956,0.2464644281404064,0.07404586077913804,0.035949142869794656,0.16712612699782575,0.08523742838101687,-0.0034618880172822765,0.12711723639841965,0.1439256792424091,0.09742629091567481,0.009038395566881132,0.0458626372318608,0.12597843844309775,0.18421454787013597,0.052765804970091944,0.07037661988516314,-0.0007528360841384098,0.0686257312313523,0.24918901073159058,-0.012219128153726342,0.08049473927457491,0.11611624285332212,0.08942660748857392,0.0495859748642463,0.017040143135367752,0.13490113577821322,-0.029287306867509553
spamosaic,0.4655934237782813,0.3416195037244565,0.5657733624192299,0.6856414948900712,0.0914330786981823,0.6814245921667474,0.4076675876228763,0.2941148254803233,0.4914839715647511,0.223882462137992,0.012066259865027455,0.601829010841622,0.5531045923062365,0.36833201045177444,0.2910086708521573,0.48371034288931136,0.5582126663458485,0.5595411302648372,0.4664447847011462,0.46348126362925207,0.34867189823042005,0.21300344720230474,0.7569917247889901,-0.009375291956697018,0.40739503189401716,0.437342602754981,0.469749870406935,0.3932459488124437,0.06030115066190419,0.35560090965599905,0.26449434690753326
ourbaseline,0.6238292246437649,0.7236663195636007,0.5287067698932723,0.7887790643393242,0.22280454789763776,0.6892571696003558,0.3648001935951801,0.6874335409366534,0.6282172362191316,0.5047459074648581,0.2867494433972618,0.6826422838229423,0.6619528638948194,0.698747926706317,0.4438652816418713,0.7125685103749856,0.5385056642927504,0.4894777892526996,0.605864054955543,0.6658082110945758,0.590852065856247,0.5263841564132478,0.8177881543310823,0.512940204257457,0.6598167834071585,0.5626672101266247,0.8243156982182784,0.40013717280653444,0.6017744207112489,0.7271105938353105,0.3064112794130538
