,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.052446139678473835,0.516664075605001,0.2895658194124564,0.186592117583957,-0.4615065054136177,-0.06056399260490535,-0.12199673256335301,0.6939950480303982,0.41752602390604093,-0.2754720171302398,-0.5030106340268986,-0.6317996837122305,0.6816529812123729,0.7482200831975356,-0.01128539281562257,0.729902192898315,0.07993759823040504,0.4089188705909099,-0.6067838230756976,-0.5105728000326547,-0.6007541202466907,-0.4778884378064191,0.7728736473425629,0.2605735964267588,0.6407412880861116,0.12023821516683696,0.7362921405201776,-0.26541221473207427,0.7065531248824035,0.6955895133012159,-0.5363956126349949
scArches,-0.1417749025813044,0.2827139730661945,-0.31606043258171,0.20313370288736327,0.39706019887537863,-0.32345172826507396,0.1902340586149741,0.403411731201807,0.5355945287401214,0.17115879371083403,-0.18123617696553054,0.4516816135455013,0.3415555441936461,0.5260680850819759,-0.22083698985450148,0.48022514546316125,0.24916125963819508,0.495283693076245,0.35850692446644444,0.5202094944519181,0.41091494339927925,0.3117228503328105,0.5704746736033072,0.0884238459780032,0.40854344224604583,-0.09453917716092304,0.39875097462516323,0.1668635287160083,0.401605992015001,0.4540146968151036,0.13964079011696928
sciPENN,0.13468382215273125,-0.05431754348883786,0.3603660479366578,0.27946851921700255,0.31147170220132836,0.3608441030312667,0.3562119157243409,0.48255086129106284,0.5884519811311539,0.41815298548670526,-0.2517512751939865,0.5472906088907796,0.5542069057993422,0.47716571120290857,0.16403649274922807,0.3850780410373388,0.415379171467569,0.5320421899305182,0.4768380075493963,0.537219611733124,-0.20079856689951697,0.28509296829608227,0.6480081732490652,-0.11132698393723062,0.33057123390233667,0.4041572326380023,0.4310933343280826,0.044307770535327175,0.3355875898688551,0.10288540398685374,-0.13798671214359784
spamosaic,0.2587549019238634,0.5318260214493492,0.37878947608584373,0.6008206689782077,0.5629723261671,0.4928537754023379,0.49975271038021823,0.6775224386190292,0.7697122731416897,0.5423463182696585,0.4983436536072901,0.7372312374233144,0.7103187320474283,0.7353285998139049,0.505402954958002,0.777104902848371,0.5509648823765241,0.6125615711364256,0.7439187072317736,0.6534653399009945,0.5599614421523008,0.5802051908042989,0.8257289718808523,0.2447515466535206,0.6475217748130946,0.5016716008738188,0.7285226955554805,0.39831885500676373,0.7296227941432911,0.6586295177740439,0.4900055050023292
ourbaseline,0.43162676234820896,0.6594696984329423,-0.082950342632533,0.7240202002422441,0.6063671459483477,0.42968009880951874,0.4304991884278319,0.8728768362390592,0.8710835719178883,0.4803061073378525,0.6501980310042945,0.8750404892365374,0.8800471220777688,0.8847295073629132,-0.005814971352175936,0.880766468824267,0.534367974852697,0.5249784410035406,0.88114015176926,0.8619847436484941,0.717398144085137,0.7583948684567712,0.930045423277117,0.5467666578959642,0.8903599288176273,0.44298757250716847,0.9204306734734572,0.6090384214177434,0.8826674536717206,0.8918425223410741,0.7857160514057087
