,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.12238512320295655,0.4119900635809159,0.20465065067738247,0.10288828544881531,0.048052186902811836,-0.021048519031026683,0.09447974794735026,0.7006388287298633,0.530331386704452,-0.32154059817332037,-0.46597053912971387,-0.6055238227180129,0.6537994042353588,0.7737373028838023,0.14229382458114748,0.6435890454208578,0.07058942142922357,0.28241805506954154,-0.5653652641990954,-0.48850024952789917,-0.16118025041038292,-0.453450304268293,0.7509313480828284,0.22907872340789726,0.687904697686816,0.18766759678731573,0.7517846256010344,-0.208683929713917,0.7288100043901198,0.6800147911901198,-0.506860341827728
scArches,-0.10491513995814017,0.07339046229400573,-0.2685090444107252,0.11439472629824998,0.21018713565080607,-0.2635302586635058,0.38499676379406017,0.5494309289228188,0.752690581968358,0.1984794965382266,-0.2184854056373213,0.5698828787208674,0.6284872603708769,0.7012353068486502,-0.18981585693579273,0.3896879747632298,0.3412544055116241,0.4071625847860911,0.3239017881054337,0.34393054791077454,0.21515651673316893,0.2569608606755662,0.7833943258070154,0.04643991294102466,0.6288019831835292,-0.06280385273803765,0.6531551711957879,0.07913031689444286,0.6057373137328491,0.8116971300884593,0.21131783845228014
sciPENN,0.14915571580960735,0.36288424298300304,0.2709178719947385,0.3519131917083361,0.2090842201472404,0.2630710586252239,0.4903425325655483,0.26382875998263433,0.7232748114300468,0.5472927233933866,-0.1698543165348598,0.382641902504667,0.4223103664829698,0.326087150350776,0.09992809755778145,0.25857971018821513,0.6709370317972936,0.5161294561586631,0.4421941690529335,0.5088609115575624,0.09696402594616849,0.5149951033274767,0.6454346461323597,-0.05691127912490651,0.2821483009090027,0.4697601064860495,0.24063028453493449,0.2882554817676911,0.09273521191149964,0.23351265345721733,-0.10219326033286662
spamosaic,0.26059260175533805,0.776084334200533,0.3314766122856287,0.5367853509301839,0.15350715273765347,0.4503973866474302,0.6595978369312379,0.7106715248777734,0.8562590506219676,0.794053918740681,0.48805569814894,0.722077590592584,0.7435669769550628,0.8174262127081182,0.5450479278400868,0.797811051937998,0.6706652245394316,0.6010922307644404,0.7511691238210041,0.7790843152186241,0.11403041167899763,0.8297880782372311,0.8490188037251905,0.31689691556244737,0.7914435851514312,0.5677901995801045,0.813242910928326,0.6488177577986454,0.7683048849364928,0.8669662179333772,0.5578185122955486
ourbaseline,0.32745478734714406,0.794221573426992,-0.04182582403078604,0.5987964684523028,0.13341531231884554,0.43979910799528105,0.4337053866959273,0.8243116240009091,0.7370076247670012,0.6815088035110741,0.5977735103602269,0.831525980938991,0.8838250882729021,0.9056705477251147,0.030861572820847328,0.8540233039780399,0.7302096574809074,0.5130461904528759,0.8280920780859347,0.8344906224286077,0.26734755604031835,0.805642104914013,0.9358447063247899,0.4207112942775142,0.87044736356257,0.5000873106421302,0.9314291542533192,0.6609506657126714,0.8671445630143366,0.8876117117157984,0.7775221780845236
