,CD163,CR2,PCNA,VIM,KRT5,CD68,CEACAM8,PTPRC,HLA_DRA,PAX5,SDC1,PTPRC_1,CD8A,BCL2,CD19,PDCD1,ACTA2,FCGR3A,ITGAX,CXCR5,EPCAM,MS4A1,CD3E,CD14,CD40,PECAM1,CD4,ITGAM,CD27,CCR7,CD274
cTPnet,-0.2459394722496664,0.508493631501991,0.22062221601872783,-0.15567599519634817,0.13168079064218113,-0.13424791729022778,0.23334106921541148,0.4182176590029907,0.4499838048287218,-0.16703577429440433,-0.003927934811069149,0.5382441499926931,0.530991740291044,0.2526158121519331,-0.15044057728225674,0.5801080242604467,0.33817524518639186,0.20494572321331006,-0.46947539973569896,-0.4186100931544364,-0.07012349170796459,-0.2780446644705716,0.6738417878077354,0.018355578016605676,0.5270046698447659,-0.24659694347446623,0.5446913528568177,0.005008233855868922,0.3180714902437838,0.40352011586166603,-0.08298572120609557
scArches,0.21900905022827252,0.16901859956275492,0.35036458940521475,0.7249611152927322,0.18040926593527543,0.08434904753138733,0.4335088013227118,-0.02678025885467985,0.5875141452649568,0.3022938788477168,0.06198384822983684,0.16243312715087807,0.22991746578202432,0.4263862997223801,0.17045019296975605,0.06067350265611789,0.4691788395787946,0.3909348453247947,0.13899511847559184,0.38732439612750263,0.04411975045485752,0.20043361812603774,0.6289807526652214,0.2565832932662549,-0.00683208747477935,0.3506645428426123,0.10803484168581176,0.31923037463601595,0.053805067885913896,0.2656621764670824,0.09445971463018216
sciPENN,0.2372187021594107,0.3867003412127834,0.3038383260397546,0.7142727508505089,0.022859112939675998,0.43043083553352657,0.3931031678663275,0.09835661662819833,0.6216347000157609,0.4343949768332738,-0.08000022123243959,0.42245755000187724,0.42942426500372977,0.14444481763344838,0.17671732383237948,0.3446920954706788,0.7033609485427528,0.3509727340440917,0.4308887077060067,0.4397012191712879,0.03815492889407704,0.24098313737746646,0.736348757984312,-0.0677669985895116,0.2573315419085654,0.4647580728460866,0.13365183729492602,0.36396310662853937,-0.013154316297964305,0.37771587721645017,0.15816977261849388
spamosaic,0.35755117279047044,0.5867924741716236,0.5068681897237985,0.6691066148264813,0.16977444086818275,0.5074795179369123,0.4348459125094607,0.41122693779927894,0.7390178886981336,0.5342502834070079,-0.0532964024202823,0.5690031429336933,0.6314932942060354,0.37894756744926683,0.22175917081490482,0.5568972386962827,0.6791695848217232,0.4857017138016298,0.6523157882619804,0.5654754400866104,0.1263210228259492,0.5315625101353059,0.8281053256545949,0.03342414883827921,0.5590483171218352,0.5168670793332157,0.4525882063556564,0.46883097921045924,0.249874032829918,0.7090101050563399,0.29626945473095523
ourbaseline,0.6412862403808597,0.795326188295927,0.43782835330387376,0.8522146853930377,0.16235977049179462,0.5904265109186675,0.480676695355251,0.7648903247049721,0.7976121226982797,0.6928865185857133,0.3695749937601627,0.7221463424790602,0.7718278069837354,0.7410105885492714,0.5328565431099259,0.7717224764128972,0.7531329449763605,0.43288938256608966,0.6851318096570976,0.7111308246273242,0.5889693514320704,0.734503439083527,0.8902946120482983,0.7430257993742864,0.773369152921783,0.7308206067844554,0.8428282414219753,0.6330012121717764,0.7305516257724953,0.8754221900618762,0.3572021527113402
